title,company,location,link,source,date
Dot Net Developer (Azure),DBiz.ai,"Melbourne, Victoria, Australia (On-site)",https://www.linkedin.com/jobs/view/4261814622/?eBP=CwEAAAGYa19hdFIzjuUEdjBu3n6hpzJkwyrYEVGFUTPwcyI3q-qgFqH4jmJSeetLUyuQ-3NIUiGHey_VH5fN3P4V1-5hrHU5WSUkWQ4iOx7-FD_efT7bZ0QjJlRxUE3cb9DsQPUBzLoLcga_HOmPR5MhcJ9huFyM01gQOK7hBUoL8X6Pk2hnvIloVW4M3VaQvHC1jMC40QMcmkre6YvVfQn_AFMv3vDlPOG2-izQfkbBwfR_4fLyj0dhSqGeVYSGjK5ZW4FUrmjaz4Xyph85ctKvrhG4Tuzpuc-UiI62aWiL6RfJXs1ThmO8yzAddbLODQidP8zZi82WOJoB_GRHeViqbzRG4nsONnIMRLRxDmbuEfeXJwX08BKrz73MFQh3kOw_tYmihowmImaTknHrDmPwik-NmMSXVRwJ_LbyvWghAjfvKD4S65jjoMJwk9ZUJx-fUILryvOmLkaeUWNL2UVxDgEcIv7q6IYcGE8lFl3fdAwZnF_v2rwi9GbMjeS8XLpoJQ-r&refId=2LUIUUH7zCCc1uD8cAGMFQ%3D%3D&trackingId=GOAirx4PqvOebUQGJCOC7A%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Software Engineer,Ofload,"Sydney, New South Wales, Australia (Hybrid)",https://www.linkedin.com/jobs/view/4271139295/?eBP=CwEAAAGYa19hdKNDglnbyD2t0xUG3GCwM-ZuQfNqOwlXXBBYA9DR_kX-C4EpaqZjO6EgLPXMcxDF2nLLW1zk606MIKEyDUmdhjNoZlLw47KhsdmybMlxoOqGkJlZ4_tclaxP8AD7l0RNTqZEIZkf-76WdEg8Vy2L_zQtnVes7HbnTEmN_FmOGCwfALqaP1oQNP1fxig4_m1rFtBkYCiH_1DVYnfjJnitgrGHVf0kxQ4jD5BJVIOO8VfgFC6DXsM9s9Du0KuAT2yF3UTko21o6njQq-ZM1PDeEDYTY_SaXiHEN5RhXCxVYyLwLksZKtOzWY8iLa4vNRgwX50aSr6v4YFSHc_0hESgNk7BvSfAQ2tDeYHZRpDD8sOPlHnkttsi-WqVCJ2IK52S5Ix9bsyciUUsN8cWKZuw2LcxYLo4qWqW1J3qDbRZTlxddL8Ei8nMMTt_b2B73Lzwz_XbHLI-IdPZgL-MTlMsmpQS6QCibcjhbW-SexF2Icd6SXxlsshctqH5cIeA&refId=2LUIUUH7zCCc1uD8cAGMFQ%3D%3D&trackingId=sh1vDFkX5EyHIV4WWWmqlA%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Software Engineer,Summit Technical Solutions,"Sydney, New South Wales, Australia (On-site)",https://www.linkedin.com/jobs/view/4270949514/?eBP=CwEAAAGYa19hdCr8dwyS_c_P2GWSwYvR1Ne5C8MnimyBegLlcj88pQpfbMsGsZ_K8djH9yTrp3uGamMjqVuWzy_xLB_VOup6sm5u-CyUL7LKNUsPFRIzzq9E9P3uG_5cp0E3S0EufxFQclu6A4QdReBlaIbzQvMZCKGIK1ZxxNknKlyBryyWXQGQICUf_S3VIw2GQxRyH85vzPLhj7iPKrLdY29Jdc501EVljfAAt1eSvB6wzzpioUFQJ2ogECBWlooCyfF3plwJDydVcYEtGqYOdvqpf7oJ7ngFwgWj65SItME3CbDsydWqE-3Wx07zF42cDO_BX1VuaTEZHymCi7jbw8NOtMEd71QE4A6_Gf1_AOhkuIQBXF2oFqIQtCyHIz6GAPaN1jfzNyo6KKAhTB7YrTkkVQjwbuggKx6j8j54eIvbiLUHCoEbGWXZ96B2S7G37aD9EnMQu4ruk3jSM9iA2wDjxhGPApW3Y24wcLZ3k0IRj3nI8_TTiDLW941JGaU&refId=2LUIUUH7zCCc1uD8cAGMFQ%3D%3D&trackingId=XR0wh8wO6aZebI1UFMTJ8w%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Dotnet Developer,CareCone Group,"Sydney, New South Wales, Australia (Hybrid)",https://www.linkedin.com/jobs/view/4278721209/?eBP=CwEAAAGYa19hdNm1STKsboV03lRO7O-DLuK3hBfDM6FR1Q2fhlu-Fcp3izG8p6QbvSD-qSD8_K72eSJQRt_Y2nB5CBQdPrk46XTF1jBGhpIZoxNN7kxwKBNFSONXm0wknDhnSaM09ft4kmGfEkhiz8APrq6Xa4MmX6vF5lJVbIYNACAUlvR3sihWKUW_8al7A_Q1zpdJpoUaoD7icK7FYwpkPl3Oif_3NJ3qCPsrHhCH_RXumrsvus4mT9TWR28PgeMbVqGQ3fIt8e0rBgqyYRV1LYwMWc3wb39fHJg5rlHaVJhHszjJBfYIPG0xdOiBJDIguenk5C15UHFFQa6qEf5uzo3lSCSE7-V6nxjl9ar4UH1CqKCOgYdAKaVU6kbnnSYxfj3gaecr23dOD7wcOu10zoGVZ94cznrTzyiffI31TVKYrUS1fFnjCk_8asRlb_tcj3tJyQH1NA3JeyjOUCZJJ7HBm9CpZUnAdzp6rT8QTVksQfd0YF98xTsZAKP7DavDT7z_&refId=2LUIUUH7zCCc1uD8cAGMFQ%3D%3D&trackingId=nk6UMWB%2BeaSSRPCbtj0cJA%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Sitecore Fullstack Developer,Datamatics,"Melbourne, Victoria, Australia (Hybrid)",https://www.linkedin.com/jobs/view/4273814821/?eBP=CwEAAAGYa19hdNB0UZxyEkDyfc0agnoLVCU_QIi_LenY6yV9Fe-e4YXW6yVXxKIT9Ztqd4NjCWBy5o4iOxQnOxWyYieshRJplzkkuY0JV0CDoAvIg6bn1ewNBeSMZdVJVRd0X3Aq0REFcY01AgOzm-agOF_nteAVnuv0TBc2embyV4MfE1l_kCMQVm-u1S6SHiGv_Ee8RldNXedKKsJnv-TrbKnC1sxja9_U92jgyG8qxfvhzk9FGprHiSNl3EFw0EsmZprq2e0Qpm1sP3Wt1z8IDXouH-0x6smahY28hWBb3ZU4TA19cL3nvY9T17exqDvD1AqqA8n-SiQKnECT2EiI48ah2WpB1CT-RuAe-6g4ESP1ESOe7CVfgcAwK_52_Of_dnaM-eejcE6uIwv7yKW6bSkOeZgwhZq3kIVyk3F2Jdajb4FBD1srQ1I0DrSdzqMW0F6BCGYlqLfjeM70iNUyz5puM-qc8knmbQo0z9Vae8TQq3BRHxFHH0fSOO-fdRVhJw&refId=2LUIUUH7zCCc1uD8cAGMFQ%3D%3D&trackingId=TUMSvIP%2FNrAbvYdSNrKf5A%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Software Developer (.NET),Selby Jennings,"Singapore, Singapore (On-site)",https://www.linkedin.com/jobs/view/4268166007/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=avyrYa0asYHuZaaW9MeC%2BQ%3D%3D&trackingId=jh77vA8jYhAHfefddYisAA%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Dotnet Developer,HCLTech,"Singapore, Singapore (On-site)",https://www.linkedin.com/jobs/view/4264330603/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=avyrYa0asYHuZaaW9MeC%2BQ%3D%3D&trackingId=pW%2Flo14AqKkD6RLcNYdfNg%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Software Developer,Nxera,"Singapore, Singapore (On-site)",https://www.linkedin.com/jobs/view/4278626302/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=avyrYa0asYHuZaaW9MeC%2BQ%3D%3D&trackingId=XEs1xx1WOF29oqKyd2Rlvg%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Dot Net Developer,Cognizant,"Singapore, Singapore (On-site)",https://www.linkedin.com/jobs/view/4267717776/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=avyrYa0asYHuZaaW9MeC%2BQ%3D%3D&trackingId=1iEmr7RS%2FecyF0D0WmGTpQ%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Junior Dotnet Developer,Aitek Group,"Singapore, Singapore (On-site)",https://www.linkedin.com/jobs/view/4278045617/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=avyrYa0asYHuZaaW9MeC%2BQ%3D%3D&trackingId=%2B1y8iqKpb1ki8JaifAkREg%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Back End Developer,JELLYFISH,"Tokyo, Tokyo, Japan (Hybrid)",https://www.linkedin.com/jobs/view/4266154069/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=VKd7YQAGSUbTCrzsuB5Sbw%3D%3D&trackingId=lKvWW6gMayxMX5jTL3XCxQ%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Junior Developer,Vigience,"Shinagawa-ku, Tokyo, Japan (On-site)",https://www.linkedin.com/jobs/view/4275868492/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=VKd7YQAGSUbTCrzsuB5Sbw%3D%3D&trackingId=hHsU3djFqNVHA9W%2FJchIIA%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Software Engineer,AppCurators,Japan (Remote),https://www.linkedin.com/jobs/view/4276586550/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=VKd7YQAGSUbTCrzsuB5Sbw%3D%3D&trackingId=DE9NNcl7JL29KxMp8dgh5g%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Back-End API Developer,Frontline Data Solutions,Japan (Remote),https://www.linkedin.com/jobs/view/4270600228/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=VKd7YQAGSUbTCrzsuB5Sbw%3D%3D&trackingId=C%2FNV6l1vwqdUxumf5SZqVg%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Software Engineer,Human Resocia/Global IT Talent,"Tokyo, Tokyo, Japan (Hybrid)",https://www.linkedin.com/jobs/view/4204335381/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=VKd7YQAGSUbTCrzsuB5Sbw%3D%3D&trackingId=13R101rJjqzBntfmX%2BV9%2FA%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Senior .Net Develoepr,The Network Technology Recruitment,"Canberra, Australian Capital Territory, Australia (On-site)",https://www.linkedin.com/jobs/view/4272848245/?eBP=CwEAAAGYa1-aS-q8q14_D3B4sq-174qkrRdTuOZwTCxeXGNI0NjxsS7f5AMWwpLABco3rsJ8El8ZUBa06RzTGlqJEgraNSNcnptxe6Mq57Xur1hXf2sv-LjReOkptjqSCCNkh-Rgju-7GpvLE0B58Xfw-5J9DU99UjBTHBH0qoDnFqoBEEaE71_ogL5uqCOFkNOP3_wKzDvHNnfr8qbDgrMD8wDrErekzUhQqX3fDl1CXeyh05ah9krwqiTk5smEWXoaFcpCs7vp8ljT-PVFxEt7qmQ9qP5df8x6N0z3V5cH8VoD3As-2NJ-1UfpaTTnhhIn9TrJg7U5nZAqB722ki6Dm0wO0VS_N1cug2theFrRwUZ6yO_zM_S8_7WQYiDk98p0HBvp3x3hxcE_gtXakBL48G45vpMXJWb1JtZxi_m5xECf2ZRYkHNwq5E5q3ETcD2Se_-ZfXsgEZrDkpFYF6BUzq719ehdbV6pjro4gRJCV0nsAGrDosK6gHKlmcN_rpGz2ZlMhiLwTQ&refId=5KCh4%2B1OXrvwhbOnb%2B9vIw%3D%3D&trackingId=8h0taD85zd%2Bjvm9NLWxYiQ%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Full Stack Engineer,Pacflow,"Sydney, New South Wales, Australia (Hybrid)",https://www.linkedin.com/jobs/view/4268484293/?eBP=CwEAAAGYa1-aS2L8kEUO5CU5ZgNQFgmN1Gww7EmUqNCD_KlDxVF_oRudMv3bPluQby5ngILogx32nXxidTebtTUbzgNRQR5YqO1EnArfN6OWMqgktUfWIzFw-mPEpuUEhY4sudaM9lcgqB4aIY-HNti9b5N3vBbNQg7G96AyuXPSrkOFEOYEmilPlJWpuLsFYnoqY6z4qhzjuOKIULJI-M3N1MK8l_YKDsSGTiNC3oDhnvJywqjjZtEm7ceUSUT1GspyJen_kZGn0IM5Qlg3j343uWeVt6Sn2F-A7080DVSRWrdGLem-5EaB0IBn9xRasDJpdcq385GBMs7EXNERlzQutBpSnwYUjdua0Y7mE3oC6uCEPiwNmjbeJ94nYtjcGdA4ByJQvBv1_9S3SXZdDBOmfE8iAc5uEl-dNIglBr2pC6BIF_IWi3TIGavLtyXQRgCLtvWrDhYKWZT0oT5-93LD8e3km3PGPfrAfLtR7KpiWnozUfCMGwfxGTkidLEeJENi-uyS08Aj-7y9zdXlDexPvywEOyFjHQ&refId=5KCh4%2B1OXrvwhbOnb%2B9vIw%3D%3D&trackingId=5GvfKVFFMKvKJb4fDArMJw%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
C# Developer - Risk,Susquehanna International Group,"Sydney, New South Wales, Australia (On-site)",https://www.linkedin.com/jobs/view/4270232941/?eBP=CwEAAAGYa1-aS7VI4IR3hgVPQNRZfWPr4mBntGpNHHSpzx8kv6AECVzcCMtSQ1bF_lRiB6YEaqvS3WalD-j2DQ7adS7QjmuGnGdMfqxoEbLYSoY3pB9wIoFETszoQ2Tx8ZKsJFwv9oOsvXJixnqBjoH1tgrV9LgcpkXtLFK17YM1FxJdp_3WXOgIUPdudApqejG3PClRK4-tR_PGXvCi1PzwsRBqptLUHch4UveWvftOPVoQ7SQrOFMF7-Wq-ey8WmZFWRGED3eYvaVCGMmVLxvpEN-d5Pck7P-5OftDM7MfpJ47-i-FIs-wdMRrNFpWEQyR4kDFdXWgvqtQgCbLnflLYU8BIVCNlGGnwk21VCVpAXRKLQh1w9wca5yfbGz4FJTZeX32ARwzRB_ImeBRoPqtyLkwOie3P9NEs4Y4c_eQUf21K-2t0kg3vxOE7fiTd1OMB6kJjNrcV8geiH7LI34SSZGcDF-uNNs0DiSdsUOGMJFpYcC9xHR4IspSmf4DF1sb7gnpXTN_iG-d&refId=5KCh4%2B1OXrvwhbOnb%2B9vIw%3D%3D&trackingId=qfi16f%2BC5g3l8elnXoF3gw%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Full Stack Product Developer,Pier Two,"Brisbane, Queensland, Australia (On-site)",https://www.linkedin.com/jobs/view/4268125590/?eBP=CwEAAAGYa1-aS9F92ZYctB4ELBDqmWnIXtw7ZfKlhjKAUM-r36c5lnSWffjBFvtxo-VaP1qKME280qcVha1Jf4z66BdABfaGmzOKkMHJQICR0KLYoIsNnSP_yL9YNeKBN15qxFJ9Fk6ppF9gZP23yYMJ1mZFO34mI36L_W-mpfW7tny1wP8MBeue0ouzPsQIPxXAzwUs_eaJGfi0ZmvdKvyl279OA1L0DVk0ieM16Z7LG6nfkWAwTBRuS3DJ5tCZznUM2zndtnVUVVS4TrihT2pZjfRQFOnCOItybzFCsA7ABwVYce0vEV66eTFOYqUUmwOGxBk3nJF34Pj4CLdDoOW4yqSuqVlDc7nhGdxlWEn6cfiVR2LBHH6kYX7MQ1sOioNYVghjRda6mxBBDnRqOZ6s3-5DTpjmAeSHW6o6NZy0AFjR7O8CnK2pdc3TrdFw8pdYX2hvA8EpPfbL86J0KLWYQGX7cH8xk2lHOFAWDToc5O64V21sFOYAAvkoOOdX9YZFjWDGioO70-tmhZuiGY5jJ_LFTAIJKsuwIw&refId=5KCh4%2B1OXrvwhbOnb%2B9vIw%3D%3D&trackingId=Z%2FkIWOkp5cPd5DyLKPiJJw%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
